name,area,food,takeout,url
居酒屋　食工房　秀,立花・鳥生・富田,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=128
炉端焼き　酒仙,美須賀・城東,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=129
天ぷら武蔵,常盤・日吉,和食・鍋,なし,https://imabari-pcoupon.jp/kamei/?id=130
寿屋,常盤・日吉,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=131
がんば食堂今治店,立花・鳥生・富田,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=132
いまむらお好み焼,美須賀・城東,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=133
リスペクト,近見・別宮,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=134
旬彩いまむら,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=135
麵小町今治店,常盤・日吉,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=136
コーヒーレスト珈里葡,しまなみ（大島・伯方島・大三島・関前）,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=137
もがみ今治店,立花・鳥生・富田,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=138
中華料理　龍鳳,波止浜・波方・大西,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=140
割烹瀨戸,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=141
コーヒーハウス　リビング,立花・鳥生・富田,喫茶・カフェ,なし,https://imabari-pcoupon.jp/kamei/?id=142
南蛮亭,美須賀・城東,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=143
喜多寿し,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=144
ますや旅館/オーベルジュ,波止浜・波方・大西,洋食・レストラン,なし,https://imabari-pcoupon.jp/kamei/?id=145
I,美須賀・城東,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=146
のり武,立花・鳥生・富田,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=147
はがくれ,立花・鳥生・富田,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=148
キッチンエム,立花・鳥生・富田,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=149
やきとり笑栄,波止浜・波方・大西,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=150
ファリーナフレスカ,清水・日高・乃万,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=151
中華桃仙楼,立花・鳥生・富田,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=152
牛角　今治旭町店,常盤・日吉,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=153
五右衛門,近見・別宮,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=154
千年の宴　今治東口駅前店,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=155
美賀登,菊間・玉川,和食・鍋,なし,https://imabari-pcoupon.jp/kamei/?id=156
GRACE FACTORY,美須賀・城東,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=157
GLOW,常盤・日吉,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=158
喫茶三昌,波止浜・波方・大西,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=159
和食どんと今治店,立花・鳥生・富田,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=160
居酒屋　是食,美須賀・城東,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=161
焼肉じゃんじゃか今治店,立花・鳥生・富田,焼肉・鉄板料理,なし,https://imabari-pcoupon.jp/kamei/?id=162
揚子江,立花・鳥生・富田,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=163
やまびこうどん本店,桜井・国分・朝倉,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=165
焼き肉　じゅうじゅう苑,常盤・日吉,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=167
景虎,美須賀・城東,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=168
大浜,近見・別宮,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=169
ナマステ食堂　ワールドプラザ店,桜井・国分・朝倉,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=170
ナマステ食堂　フジグラン今治店,美須賀・城東,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=171
おかわり,波止浜・波方・大西,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=172
カラオケ　J,常盤・日吉,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=173
WAKKA,しまなみ（大島・伯方島・大三島・関前）,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=174
魚河岸ごはん,清水・日高・乃万,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=175
瀬戸の坊ったん,清水・日高・乃万,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=176
展望レストラン　ア・クア,桜井・国分・朝倉,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=177
やまびこうどん玉川店,菊間・玉川,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=178
焼肉ほるもん牛雅,美須賀・城東,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=179
ホテル菊水今治レストラン部門,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=180
ひつじ家,清水・日高・乃万,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=181
TOYOKI,近見・別宮,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=182
居酒屋tsugumi,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=183
貴船寿司,波止浜・波方・大西,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=184
利鳳園　中寺店,清水・日高・乃万,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=186
今治国際ホテル　宴会場,美須賀・城東,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=187
料理旅館せと(食事処),しまなみ（大島・伯方島・大三島・関前）,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=188
ふうらい,美須賀・城東,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=189
ふうふう亭,立花・鳥生・富田,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=190
BB Pizza & Garden,桜井・国分・朝倉,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=191
ガスト今治東店,立花・鳥生・富田,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=192
ガスト今治西店,常盤・日吉,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=193
お好み焼　小次郎,美須賀・城東,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=194
Ristorante So,常盤・日吉,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=195
きつねのぼたん,しまなみ（大島・伯方島・大三島・関前）,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=196
福寿園,常盤・日吉,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=197
赤から今治阿方店,清水・日高・乃万,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=198
今治国際ホテル　伊予路,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=199
今治国際ホテル　La Sail,美須賀・城東,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=200
今治国際ホテル　GARDEN,美須賀・城東,喫茶・カフェ,なし,https://imabari-pcoupon.jp/kamei/?id=201
今治国際ホテル　龍宮,美須賀・城東,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=202
今治国際ホテル　欅,美須賀・城東,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=203
今治国際ホテル　TOPHAT,美須賀・城東,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=204
ROKUSAN,美須賀・城東,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=205
彩菜食堂,清水・日高・乃万,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=206
ゆめ鳥,清水・日高・乃万,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=207
御食事処居酒屋ひあさ,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=208
居酒屋割烹音羽,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=209
ダイニングカフェ　OBANYA,立花・鳥生・富田,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=210
ミスタードーナツフジグラン今治ショップ,立花・鳥生・富田,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=211
